City,Latitude,Longitude,State,country,iso2,Temperature ( Â°C )
Agartala,23.836049,91.279386,Tripura,India,IN,36
Agra,27.187935,78.003944,Uttar Pradesh,India,IN,26
Ahmedabad,23.025793,72.587265,Gujarat,India,IN,33
Ajmer,26.452103,74.638667,Rajasthan,India,IN,29
Aligarh,27.881453,78.07464,Uttar Pradesh,India,IN,26
Allahabad,25.44478,81.843217,Uttar Pradesh,India,IN,29
Amritsar,31.622337,74.875335,Punjab,India,IN,32
Aurangabad,19.880943,75.346739,Maharashtra,India,IN,33
Bengaluru,12.977063,77.587106,Karnataka,India,IN,28
Bharatpur,27.215251,77.492786,Rajasthan,India,IN,27
Bhilai,21.209188,81.428497,Chhattisgarh,India,IN,34
Bhilwara,25.347071,74.640812,Rajasthan,India,IN,31
Bhopal,23.254688,77.402892,Madhya Pradesh,India,IN,29
Bhubaneshwar,20.272411,85.833853,Odisha,India,IN,36
Bijapur,16.827715,75.718988,Karnataka,India,IN,31
Bikaner,28.017623,73.314955,Rajasthan,India,IN,36
Brahmapur,19.311514,84.792903,Odisha,India,IN,34
Chandigarh,30.736292,76.788398,Chandigarh,India,IN,31
Chennai,13.084622,80.248357,Tamil Nadu,India,IN,35
Coimbatore,11.005547,76.966122,Tamil Nadu,India,IN,31
Daman,20.414315,72.83236,Daman and Diu,India,IN,32
DehraDun,30.324427,78.033922,Uttarakhand,India,IN,19
Delhi,28.651952,77.231495,Delhi,India,IN,28
Dhanbad,23.801988,86.443244,Jharkhand,India,IN,34
Dispur,26.135638,91.800688,Assam,India,IN,31
Diu,20.715115,70.987952,Daman and Diu,India,IN,31
Gangtok,27.325739,88.612155,Sikkim,India,IN,19
Ghaziabad,28.665353,77.439148,Uttar Pradesh,India,IN,26
Gurugram,28.460105,77.026352,Haryana,India,IN,28
Guwahati,26.176076,91.762932,Assam,India,IN,30
Gwalior,26.229825,78.173369,Madhya Pradesh,India,IN,26
Hyderabad,17.384052,78.456355,Telangana,India,IN,32
Imphal,24.808053,93.944203,Manipur,India,IN,27
Indore,22.717736,75.85859,Madhya Pradesh,India,IN,30
Itanagar,27.102349,93.692047,Arunachal Pradesh,India,IN,28
Jabalpur,23.174495,79.935903,Madhya Pradesh,India,IN,32
Jaipur,26.913312,75.787872,Rajasthan,India,IN,27
Jammu,32.735686,74.869112,Jammu and Kashmir,India,IN,32
Jamshedpur,22.802776,86.185448,Jharkhand,India,IN,36
Jodhpur,26.26841,73.005943,Rajasthan,India,IN,31
Kakinada,16.960361,82.238086,Andhra Pradesh,India,IN,36
Kavaratti,10.566667,72.616667,Lakshadweep,India,IN,30
Kochi,9.947743,76.253802,Kerala,India,IN,31
Kohima,25.674673,94.110988,Nagaland,India,IN,22
Kolhapur,16.695633,74.231669,Maharashtra,India,IN,29
Kolkata,22.562627,88.363044,West Bengal,India,IN,36
Kota,25.182544,75.839065,Rajasthan,India,IN,29
Lucknow,26.839281,80.923133,Uttar Pradesh,India,IN,28
Ludhiana,30.912042,75.853789,Punjab,India,IN,33
Madurai,9.917347,78.119622,Tamil Nadu,India,IN,35
Mangalore,12.865371,74.842432,Karnataka,India,IN,28
Mathura,27.503501,77.672145,Uttar Pradesh,India,IN,27
Meerut,28.980018,77.706356,Uttar Pradesh,India,IN,24
Mirzapur,25.144902,82.565335,Uttar Pradesh,India,IN,30
Mumbai,18.987807,72.836447,Maharashtra,India,IN,32
Muzaffarnagar,29.470914,77.703324,Uttar Pradesh,India,IN,27
Mysore,12.292664,76.638543,Karnataka,India,IN,29
Nellore,14.449918,79.986967,Andhra Pradesh,India,IN,37
New Delhi,28.6,77.2,Delhi,India,IN,28
Pali,25.775125,73.320611,Rajasthan,India,IN,32
Panaji,15.498289,73.824541,Goa,India,IN,26
Panipat,29.387471,76.968246,Haryana,India,IN,28
Pathankot,32.274842,75.652865,Punjab,India,IN,31
Patiala,30.336245,76.392199,Punjab,India,IN,33
Patna,25.615379,85.101027,Bihar,India,IN,24
Porbandar,21.641346,69.600868,Gujarat,India,IN,33
Port Blair,11.666667,92.75,Andaman and Nicobar Islands,India,IN,29
Puducherry,11.933812,79.829792,Puducherry,India,IN,34
Pune,18.513271,73.849852,Maharashtra,India,IN,31
Rajkot,22.291606,70.793217,Gujarat,India,IN,35
Ranchi,23.347768,85.338564,Jharkhand,India,IN,33
Rourkela,22.224964,84.864143,Odisha,India,IN,37
Siliguri,26.710035,88.428512,West Bengal,India,IN,29
Shimla,31.104423,77.166623,Himachal Pradesh,India,IN,16
Srinagar,34.085652,74.805553,Jammu and Kashmir,India,IN,23
Surat,21.195944,72.830232,Gujarat,India,IN,34
Thiruvananthapuram,8.485498,76.949238,Kerala,India,IN,32
Tiruchchirappalli,10.815499,78.696513,Tamil Nadu,India,IN,35
Udaipur,24.57951,73.690508,Rajasthan,India,IN,32
Varanasi,25.31774,83.005811,Uttar Pradesh,India,IN,27
Vellore,12.905769,79.137104,Tamil Nadu,India,IN,37
Vishakhapatnam,17.704052,83.297663,Andhra Pradesh,India,IN,34
Warangal,17.978423,79.600209,Telangana,India,IN,34